Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
APT,04 Oct 2018,18.04,18.4,17.6,17.74,1347418
APT,03 Oct 2018,17.44,17.86,17.19,17.82,774605
APT,02 Oct 2018,17.53,17.82,17.24,17.43,810212
APT,01 Oct 2018,17.99,18.14,17.32,17.39,911431
APT,27 Sep 2018,17.25,17.85,16.7,17.8,1846039
APT,26 Sep 2018,16.24,17,16.16,16.97,1524296
APT,25 Sep 2018,16.16,16.2,15.65,16,1098727
APT,24 Sep 2018,16,16.45,15.86,16.23,1622339
APT,21 Sep 2018,15.25,15.97,15.13,15.82,4234095
APT,20 Sep 2018,15.56,15.79,15.07,15.1,2579799
APT,19 Sep 2018,16.1,16.28,15.59,15.7,2432966
APT,18 Sep 2018,16.7,16.7,15.44,15.94,2418929
APT,17 Sep 2018,17.27,17.4,16.7,16.8,1379183
APT,14 Sep 2018,16.91,17.29,16.57,17.27,1592616
APT,13 Sep 2018,17.24,17.48,16.5,16.57,1300503
APT,12 Sep 2018,17.3,17.5,16.645,17.06,1737506
APT,11 Sep 2018,16.5,17.26,16.49,17.08,3308922
APT,10 Sep 2018,15,16.47,14.9,16.11,3000323
APT,06 Sep 2018,16.52,16.58,15.32,16,3844401
APT,05 Sep 2018,17.5,17.78,16.51,16.72,2533558
APT,20 Mar 2019,20.45,20.96,20.25,20.76,1301108
APT,03 Sep 2018,18.11,18.94,17.56,17.65,2687012
APT,21 Mar 2019,20.61,21,20.38,20.5,1144664
APT,30 Aug 2018,18.76,19.1,17.71,18.02,3527968
APT,29 Aug 2018,19.95,19.98,18.85,18.95,2981605
APT,28 Aug 2018,21.34,21.48,19.62,19.95,3799810
APT,27 Aug 2018,20,21.42,19.99,21.13,3508124
APT,22 Aug 2018,18.21,18.83,17.83,18.55,3131120
APT,21 Aug 2018,17.5,18.31,17.5,17.92,2221511
APT,16 Aug 2018,16.15,16.63,15.89,16.25,1724364
APT,15 Aug 2018,15.14,16.42,15.14,16.39,2701930
APT,14 Aug 2018,14.62,15.25,14.27,15.1,2346781
APT,28 Mar 2019,19.95,20.64,19.71,20.42,1185503
APT,10 Aug 2018,14.37,14.65,14.21,14.57,811038
APT,07 Aug 2018,14.39,14.7,14.31,14.55,1064451
APT,03 Apr 2019,23.7,24.13,23.05,23.31,1792238
APT,01 Aug 2018,14.26,14.5,13.8,13.82,1527731
APT,25 Jul 2018,14.47,15.05,14.46,14.75,1808799
APT,23 Jul 2018,14.98,15.64,14.63,15.04,4010302
APT,20 Jul 2018,14.25,16.19,13.9,14.38,6703068
APT,19 Jul 2018,11,13.84,10.98,13.53,6194507
APT,18 Jul 2018,10.53,11,10.52,10.92,1086105
APT,17 Jul 2018,10.65,10.74,10.36,10.44,1110609
APT,13 Jul 2018,11.07,11.4,10.94,10.98,2074322
APT,11 Jul 2018,10.43,10.55,10.3,10.4,1285223
APT,10 Jul 2018,10.35,10.67,10.31,10.4,1894696
APT,06 Jul 2018,9.95,10.13,9.8,9.95,1172641
APT,05 Jul 2018,10.08,10.08,9.73,9.92,1194539
APT,03 Jul 2018,9.65,9.87,9.26,9.44,1434311
APT,29 Jun 2018,8.97,9.52,8.915,9.35,3454051
APT,28 Jun 2018,8.91,8.92,8.49,8.59,973755
APT,27 Jun 2018,8.75,8.97,8.73,8.94,825663
APT,26 Jun 2018,8.8,8.85,8.64,8.76,726213
APT,25 Jun 2018,8.74,8.92,8.65,8.87,812350
APT,23 Apr 2019,22.86,23.455,22.7,22.93,1549149
APT,24 Apr 2019,23.38,23.84,22.94,23.75,2034162
APT,20 Jun 2018,8.84,8.94,8.7,8.81,1233112
APT,19 Jun 2018,8.95,9,8.7,8.8,1203052
APT,18 Jun 2018,9.18,9.18,8.68,8.9,1264673
APT,15 Jun 2018,9.15,9.47,9.09,9.12,7692899
APT,29 Apr 2019,23.86,25.04,23.85,24.92,1469569
APT,12 Jun 2018,8.45,8.6,8.375,8.44,1793412
APT,08 Jun 2018,8.2,8.47,8,8.36,2311117
APT,01 May 2019,25.9,27.48,25.8,27.3,2625303
APT,06 Jun 2018,8.54,8.62,7.74,8.15,3733652
APT,05 Jun 2018,8.4,8.78,8.31,8.54,2326679
APT,04 Jun 2018,7.9,8.15,7.8,8.15,1253404
APT,02 May 2019,27.4,28.2,26.38,26.86,2202487
APT,03 May 2019,27.75,28.25,27.13,27.65,2208004
APT,25 May 2018,7.5,7.725,7.4,7.68,1543933
APT,23 May 2018,7.19,7.2,7.06,7.2,717945
APT,21 May 2018,7.07,7.17,7.02,7.04,786979
APT,18 May 2018,7.27,7.35,7.06,7.07,694833
APT,16 May 2018,7.5,7.51,7.03,7.25,1743474
APT,14 May 2018,6.85,6.98,6.85,6.96,466059
APT,08 May 2018,6.31,6.48,6.245,6.45,712722
APT,21 May 2019,25.69,25.795,24.6,24.7,2760044
APT,17 Apr 2018,5.72,5.98,5.7,5.91,594689
APT,07 Jun 2019,23.5,24.37,22.95,24.17,2484087
APT,11 Apr 2018,6,6.18,5.49,5.6,2488741
APT,28 Mar 2018,6.7,6.9,6.65,6.77,630180
APT,21 Mar 2018,7,7.3,7,7.15,1442222
APT,15 Mar 2018,7.78,7.78,7.32,7.57,1852050
APT,14 Mar 2018,7.8,7.82,7.63,7.7,1174958
APT,02 Jul 2019,24.6,26.44,24.595,26.09,3406263
APT,09 Mar 2018,7.74,7.93,7.67,7.8,1906616
APT,05 Jul 2019,27,27.24,26.1,26.84,2143651
APT,05 Mar 2018,7.2,7.37,7.03,7.36,1053014
APT,27 Feb 2018,7.25,7.3,6.8,6.96,1180916
APT,23 Feb 2018,7.63,7.65,7,7.19,1161579
APT,22 Feb 2018,7.75,7.97,7.4,7.53,2841582
APT,21 Feb 2018,7,7.58,7,7.39,1918842
